iter	Logloss
0	0.667171317
1	0.6442816685
2	0.6207085658
3	0.596718192
4	0.5726397879
5	0.5531065151
6	0.5352156459
7	0.5173984375
8	0.5017423968
9	0.48507101
10	0.4697027762
11	0.4545739397
12	0.4422646484
13	0.4278689314
14	0.4171437291
15	0.4060478516
16	0.3965028251
17	0.3861925572
18	0.3759559501
19	0.3661333008
20	0.3555758231
21	0.3465251465
22	0.3393639439
23	0.3318850098
24	0.3252737863
25	0.3200669643
26	0.3140867746
27	0.3084817243
28	0.30238637
29	0.29735226
30	0.2919031459
31	0.2873153948
32	0.283434361
33	0.2791738979
34	0.275487078
35	0.2722014858
36	0.2680150495
37	0.2651506696
38	0.2617900042
39	0.258832101
40	0.2558204869
41	0.2520511998
42	0.2497281145
43	0.246808524
44	0.2443181152
45	0.2410719517
46	0.2379948556
47	0.2356501639
48	0.2336904646
49	0.231761091
50	0.2298612932
51	0.2281284528
52	0.2258018276
53	0.2241504953
54	0.2223961705
55	0.2207976946
56	0.2193776507
57	0.2182795933
58	0.217021868
59	0.2158816616
60	0.2143331648
61	0.2127920096
62	0.2115018485
63	0.2100634242
64	0.2090763114
65	0.2077233538
66	0.2065425153
67	0.2052527727
68	0.2043453195
69	0.2033984549
70	0.2026817801
71	0.2017548479
72	0.2007445766
73	0.199527553
74	0.1991235352
75	0.1987429025
76	0.198052002
77	0.1974076102
78	0.1967710658
79	0.196124006
80	0.1957216797
81	0.1951604701
82	0.1947692348
83	0.1942605678
84	0.1936176583
85	0.1932231968
86	0.1927015555
87	0.1920669294
88	0.1915563267
89	0.1909196254
90	0.1905319824
91	0.1902515695
92	0.1898527483
93	0.1893062047
94	0.188834089
95	0.1883241316
96	0.1878633859
97	0.187292742
98	0.1868861607
99	0.1864252232
100	0.186059082
101	0.1855356097
102	0.1851338588
103	0.1848551549
104	0.1845673131
105	0.1841905343
106	0.1838969552
107	0.1835983712
108	0.1833416225
109	0.1830773577
110	0.1828896833
111	0.1826753104
112	0.1824320766
113	0.1822000907
114	0.1818987514
115	0.1816636265
116	0.181379412
117	0.1812182617
118	0.1810130092
119	0.1807449777
120	0.180570731
121	0.1803066581
122	0.1801675502
123	0.1800127476
124	0.1797917829
125	0.1795695452
126	0.1794869559
127	0.1793044434
128	0.1791776297
129	0.1789917341
130	0.1788150984
131	0.1787107806
132	0.1785641218
133	0.1784156494
134	0.1783466099
135	0.1782070138
136	0.177959647
137	0.1777587193
138	0.1775857631
139	0.1774818638
140	0.1773764648
141	0.177256522
142	0.176982666
143	0.1768189697
