iter	Passed	Remaining
428	1633	2174
429	1636	2169
430	1639	2165
431	1643	2160
432	1646	2155
433	1649	2150
434	1652	2146
435	1656	2142
436	1659	2138
437	1662	2132
438	1664	2127
439	1668	2123
440	1671	2119
441	1675	2115
442	1677	2109
443	1681	2105
444	1684	2100
445	1688	2096
446	1691	2092
447	1693	2086
448	1696	2082
449	1700	2078
450	1703	2074
451	1707	2070
452	1710	2065
453	1713	2060
454	1716	2056
455	1720	2052
456	1722	2047
457	1725	2041
458	1728	2036
459	1731	2032
460	1735	2028
461	1738	2024
462	1741	2019
463	1744	2015
464	1747	2011
465	1751	2006
466	1755	2003
467	1757	1998
468	1760	1993
469	1764	1989
470	1767	1985
471	1770	1980
472	1774	1976
473	1777	1972
474	1781	1968
475	1784	1964
476	1786	1959
477	1790	1954
478	1793	1950
479	1796	1946
480	1800	1942
481	1802	1937
482	1806	1933
483	1808	1928
484	1812	1924
485	1815	1920
486	1818	1915
487	1820	1910
488	1824	1906
489	1828	1902
490	1831	1898
491	1833	1893
492	1836	1888
493	1840	1885
494	1844	1881
495	1847	1876
496	1850	1872
497	1852	1867
498	1856	1863
499	1860	1860
500	1862	1855
501	1866	1851
502	1870	1847
503	1873	1843
504	1876	1839
505	1879	1834
506	1882	1830
507	1885	1826
508	1888	1822
509	1892	1818
510	1895	1813
511	1898	1809
512	1902	1806
513	1906	1802
514	1908	1797
515	1911	1792
516	1915	1789
517	1918	1785
518	1922	1781
519	1924	1776
520	1928	1772
521	1931	1768
522	1935	1764
523	1938	1761
524	1941	1756
525	1944	1752
526	1948	1748
527	1951	1744
528	1955	1741
529	1958	1737
530	1962	1733
531	1965	1729
532	1969	1725
533	1971	1720
534	1975	1716
535	1978	1713
536	1982	1709
537	1985	1704
538	1988	1700
539	1991	1696
540	1995	1693
541	1998	1689
542	2002	1685
543	2005	1681
544	2008	1677
545	2012	1673
546	2015	1669
547	2018	1665
548	2021	1660
549	2024	1656
550	2028	1652
551	2031	1649
552	2035	1645
553	2038	1641
554	2042	1637
555	2046	1633
556	2048	1629
557	2052	1625
558	2055	1621
559	2059	1618
560	2063	1614
